date,date_q,file_name,words,d_per_1000,h_per_1000,i_per_1000,d_net_per_1000,DLI_1,DLI_2,DLI_3
2003-01-29,2003-01-01,2003-01-29.htm,182,16.483516483516482,16.483516483516482,21.978021978021978,0,-0.29098551228087777,-0.5941691840303661,-0
2003-03-18,2003-01-01,2003-03-18.htm,239,12.552301255230125,12.552301255230125,16.736401673640167,0,-0.181618403507454,-0.5941691840303661,-0
2003-05-06,2003-04-01,2003-05-06.htm,229,0,21.83406113537118,13.100436681222707,-21.83406113537118,-0.28610371323715444,-1.6074550500828704,-0
2003-06-25,2003-04-01,2003-06-25.htm,308,6.4935064935064934,9.74025974025974,9.74025974025974,-3.2467532467532463,-0.04468175970535392,-0.7448461082680436,-0
2003-08-12,2003-07-01,2003-08-12.htm,224,4.464285714285714,17.857142857142858,17.857142857142858,-13.392857142857142,-0.4194500314325697,-1.215711496510786,-0
2003-09-16,2003-07-01,2003-09-16.htm,222,4.504504504504505,9.00900900900901,18.01801801801802,-4.504504504504505,-0.2816668754039224,-0.803216448288045,-0
2003-10-28,2003-10-01,2003-10-28.htm,223,4.484304932735426,13.452914798206278,17.937219730941703,-8.968609865470853,-0.35144995686631847,-1.0103888491891526,-0
2003-12-09,2003-10-01,2003-12-09.htm,213,4.694835680751174,14.084507042253522,18.779342723004696,-9.389671361502348,-0.3887044599708119,-1.0299296785393304,-0
2004-01-28,2004-01-01,2004-01-28.htm,215,4.651162790697675,13.953488372093023,18.6046511627907,-9.302325581395348,-0.38088130920997293,-1.0258760925438979,-0
2004-03-16,2004-01-01,2004-03-16.htm,214,4.672897196261682,9.345794392523365,18.69158878504673,-4.672897196261682,-0.3035910168576494,-0.811031299288332,-0
2004-05-04,2004-04-01,2004-05-04.htm,212,9.433962264150944,51.886792452830186,37.735849056603776,-42.45283018867924,-2.674850357407689,-2.564341042458867,-0
2004-06-30,2004-04-01,2004-06-30.htm,292,17.123287671232877,17.123287671232877,27.397260273972602,0,-0.4040586442066814,-0.5941691840303661,-0
2004-08-10,2004-07-01,2004-08-10.htm,310,16.129032258064516,19.35483870967742,32.25806451612903,-3.225806451612904,-0.6328389631981732,-0.7438739990794137,-0
2004-09-21,2004-07-01,2004-09-21.htm,291,17.18213058419244,17.18213058419244,44.67353951890034,0,-0.7645305215383026,-0.5941691840303661,-0.5941691840303661
2004-11-10,2004-10-01,2004-11-10.htm,270,18.51851851851852,14.814814814814815,44.44444444444444,3.703703703703704,-0.5399672056446815,-0.42228587786294136,-0.42228587786294136
2004-12-14,2004-10-01,2004-12-14.htm,327,24.464831804281346,12.232415902140673,36.69724770642202,12.232415902140673,-0.026656574625868457,-0.026481200358137575,-0
2005-02-02,2005-01-01,2005-02-02.htm,277,21.660649819494584,14.440433212996389,43.32129963898917,7.2202166064981945,-0.32107343099951074,-0.25908981460650565,-0.25908981460650565
2005-03-22,2005-01-01,2005-03-22.htm,304,23.026315789473685,9.868421052631579,49.3421052631579,13.157894736842106,0.023890833138630798,0.016468877353906074,0.016468877353906074
2005-05-03,2005-04-01,2005-05-03.htm,296,23.64864864864865,23.64864864864865,43.91891891891892,0,-0.7487852617811542,-0.5941691840303661,-0.5941691840303661
2005-06-30,2005-04-01,2005-06-30.htm,276,25.36231884057971,10.869565217391305,47.10144927536232,14.492753623188406,0.10758759454544917,0.07841766618999163,0.07841766618999163
2005-08-09,2005-07-01,2005-08-09.htm,286,24.475524475524477,13.986013986013987,48.95104895104895,10.48951048951049,-0.15427892089621717,-0.10736681341633096,-0.10736681341633096
2005-09-20,2005-07-01,2005-09-20.htm,366,21.85792349726776,24.59016393442623,43.71584699453552,-2.7322404371584703,-0.9034390429639709,-0.7209683443178106,-0.7209683443178106
2005-11-01,2005-10-01,2005-11-01.htm,288,24.305555555555557,17.36111111111111,52.083333333333336,6.944444444444446,-0.4205910970439788,-0.2718879849664446,-0.2718879849664446
2005-12-13,2005-10-01,2005-12-13.htm,238,8.403361344537815,25.210084033613445,50.42016806722689,-16.806722689075627,-2.0454451862273446,-1.3741438506724617,-1.3741438506724617
2006-01-31,2006-01-01,2006-01-31.htm,222,9.00900900900901,27.027027027027028,49.549549549549546,-18.01801801801802,-2.0853911855891885,-1.4303582410610813,-1.4303582410610813
2006-03-28,2006-01-01,2006-03-28.htm,283,10.60070671378092,31.802120141342755,42.40282685512368,-21.201413427561835,-1.9047328112604056,-1.5780948235753416,-1.5780948235753416
2006-05-10,2006-04-01,2006-05-10.htm,329,9.118541033434651,24.316109422492403,33.43465045592705,-15.197568389057752,-1.1591902698913545,-1.2994654251428994,-0
2006-06-29,2006-04-01,2006-06-29.htm,291,13.745704467353951,24.054982817869416,48.10996563573883,-10.309278350515465,-1.5095843831841502,-1.0726072527438166,-1.0726072527438166
2006-08-08,2006-07-01,2006-08-08.htm,222,9.00900900900901,40.54054054054054,63.06306306306306,-31.53153153153153,-3.9761134201160293,-2.0575000338341174,-2.0575000338341174
2006-09-20,2006-07-01,2006-09-20.htm,211,9.47867298578199,47.39336492890995,66.35071090047393,-37.91469194312796,-4.8203225975189365,-2.3537328869765157,-2.3537328869765157
2006-10-25,2006-10-01,2006-10-25.htm,215,9.30232558139535,51.16279069767442,60.46511627906977,-41.860465116279066,-4.671017716763157,-2.53685027234126,-2.53685027234126
2006-12-12,2006-10-01,2006-12-12.htm,225,8.88888888888889,48.888888888888886,57.77777777777778,-40,-4.2807859719824,-2.4505088906385537,-2.4505088906385537
