date_q,n_statements,words_sum,dli1_q_mean,dli2_q_mean,dli3_q_mean,dli2_q_last,dli1_q_last,d_net_q_mean,d_q_mean,h_q_mean,i_q_mean,michigan_exp_infl,michigan_n_months,spf_exp_infl,surpr_statement,surpr_press,surpr_monetary,surpr_events,surpr_monetary_abs,surpr_monetary_z,surpr_monetary_abs_z,michigan_l1,michigan_l2,d_michigan,spf_l1,d_spf,dli2_l1,dli2_l2,dli2_l3,n_stmt_z,surpr_monetary_l1
2005-04-01,2,572,-0.3205988336178525,-0.2578757589201872,-0.2578757589201872,0.07841766618999163,0.10758759454544917,7.246376811594203,24.505483744614182,17.25910693301998,45.51018409714062,3.933333333333333,3,2.4,NA,NA,NA,NA,NA,NA,NA,3.6,3.433333333333333,0.33333333333333304,3.4006,-1.0006,-0.1213104686262998,-0.22438353911053946,-0.6690215915548898,-0.27141291677487306,NA
2005-07-01,2,652,-0.5288589819300941,-0.4141675788670708,-0.4141675788670708,-0.7209683443178106,-0.9034390429639709,3.87863502617601,23.166723986396118,19.288088960220108,46.333447972792236,4.266666666666667,3,4.1984,NA,NA,NA,NA,NA,NA,NA,3.933333333333333,3.6,0.3333333333333335,2.4,1.7984000000000004,-0.2578757589201872,-0.1213104686262998,-0.22438353911053946,-0.27141291677487306,NA
2005-10-01,2,526,-1.2330181416356618,-0.8230159178194532,-0.8230159178194532,-1.3741438506724617,-2.0454451862273446,-4.9311391223155905,16.354458450046685,21.285597572362278,51.25175070028011,4.566666666666666,3,5.1004,NA,NA,NA,NA,NA,NA,NA,4.266666666666667,3.933333333333333,0.2999999999999998,4.1984,0.9019999999999992,-0.4141675788670708,-0.2578757589201872,-0.1213104686262998,-0.27141291677487306,NA
2006-01-01,2,505,-1.995061998424797,-1.5042265323182114,-1.5042265323182114,-1.5780948235753416,-1.9047328112604056,-19.60971572278993,9.804857861394964,29.414573584184893,45.976188202336616,3.7333333333333334,3,3.2005,NA,NA,NA,NA,NA,NA,NA,4.566666666666666,4.266666666666667,-0.833333333333333,5.1004,-1.8998999999999997,-0.8230159178194532,-0.4141675788670708,-0.2578757589201872,-0.27141291677487306,NA
2006-04-01,2,620,-1.3343873265377524,-1.186036338943358,-0.5363036263719083,-1.0726072527438166,-1.5095843831841502,-12.753423369786608,11.432122750394301,24.18554612018091,40.77230804583294,4.5,3,2.2022,NA,NA,NA,NA,NA,NA,NA,3.7333333333333334,4.566666666666666,0.7666666666666666,3.2005,-0.9983,-1.5042265323182114,-0.8230159178194532,-0.4141675788670708,-0.27141291677487306,NA
2006-07-01,2,433,-4.398218008817483,-2.2056164604053166,-2.2056164604053166,-2.3537328869765157,-4.8203225975189365,-34.723111737329745,9.2438409973955,43.96695273472525,64.70688698176849,4,3,4.9995,NA,NA,NA,NA,NA,NA,NA,4.5,3.7333333333333334,-0.5,2.2022,2.7973000000000003,-1.186036338943358,-1.5042265323182114,-0.8230159178194532,-0.27141291677487306,NA
2006-10-01,2,440,-4.475901844372778,-2.493679581489907,-2.493679581489907,-2.4505088906385537,-4.2807859719824,-40.93023255813954,9.095607235142118,50.02583979328165,59.12144702842377,3.5,3,2.9098,NA,NA,NA,NA,NA,NA,NA,4,4.5,-0.5,4.9995,-2.0897,-2.2056164604053166,-1.186036338943358,-1.5042265323182114,-0.27141291677487306,NA
2007-01-01,2,349,-3.548956564323033,-2.5530286377490645,-2.5530286377490645,-1.417988580454118,-1.662553629933736,-42.20907297830374,17.389875082182776,59.59894806048652,45.710059171597635,3.6,3,-2.2005,NA,NA,NA,NA,NA,NA,NA,3.5,4,0.10000000000000009,2.9098,-5.1103000000000005,-2.493679581489907,-2.2056164604053166,-1.186036338943358,-0.27141291677487306,NA
2007-04-01,2,350,-1.6202854997605787,-1.4122676124233973,-0.9876871614378718,-0.8491609019710511,-0.9073949015809095,-17.628205128205128,19.917582417582416,37.54578754578755,40.06410256410256,4.166666666666667,3,3.8,NA,NA,NA,NA,NA,NA,NA,3.6,3.5,0.5666666666666669,-2.2005,6.0005,-2.5530286377490645,-2.493679581489907,-2.2056164604053166,-0.27141291677487306,NA
2007-07-01,4,700,-0.133126165207962,-0.8650528710836957,0,-0.05868657635492756,-0.031005565357430945,-5.836942152108029,18.443687697242197,24.280629849350227,14.063069631790011,4.066666666666666,3,6,NA,NA,NA,NA,NA,NA,NA,4.166666666666667,3.6,-0.10000000000000053,3.8,2.2,-1.4122676124233973,-2.5530286377490645,-2.493679581489907,4.433077640656259,NA
