date_q,n_statements,words_sum,dli1_q_mean,dli2_q_mean,dli3_q_mean,dli2_q_last,dli1_q_last,d_net_q_mean,d_q_mean,h_q_mean,i_q_mean
2000-01-01,2,407,-0.4476922220618591,-0.5941691840303661,0,-0.5941691840303661,-0.44013348645809075,0,19.658986620296574,19.658986620296574,29.488479930444864
2000-04-01,2,376,-1.5404675182397307,-1.3372742535353896,-0.6903769027372567,-1.3807538054745134,-2.0760023417282616,-16.012264713397496,18.52482752746785,34.53709224086535,40.499105697981435
2000-07-01,1,180,-1.7487748965112517,-1.3676440617837775,-1.3676440617837775,-1.3676440617837775,-1.7487748965112517,-16.666666666666668,16.666666666666668,33.333333333333336,44.44444444444444
2000-10-01,3,550,-2.2871407469812555,-1.1926971294289195,-1.1926971294289195,-1.4328768827991256,-1.717675325544965,-12.896948619219144,22.212343677477136,35.10929229669628,64.39082428465898
2001-01-01,3,741,-0.520021708413126,-1.3631558129766979,0,-2.703646123357852,-0.8067193304054201,-16.569954867827207,12.175429341773636,28.745384209600843,20.489224937967684
2001-04-01,3,771,-0.41836704476287767,-1.3844370030428332,0,-0.5941691840303661,-0.3199142691637645,-17.028517274058757,5.514678944143439,22.543196218202198,17.502127704116674
2001-07-01,2,519,-0.18727946829314765,-0.6690215915548898,0,-0.7438739990794137,-0.042981913229979456,-1.612903225806452,11.236301898441116,12.849205124247568,16.800432165457632
2001-10-01,3,820,-0.1457614479711435,-0.9880596469384513,0,-1.0792753791370355,-0.22381212944625006,-8.487465123024974,6.0775854865079015,14.565050609532877,12.150477591622245
2002-01-01,2,412,-0.32103040014453726,-1.0030333917980276,0,-0.7673352014378464,-0.08520429104783553,-8.810116086235489,5.337893864013267,14.148009950248756,16.013681592039802
2002-04-01,2,399,-0.3219411165408761,-1.294367904916849,0,-1.254005572635172,-0.27240856265608687,-15.087728143591812,5.029242714530604,20.116970858122414,15.087728143591812
2002-07-01,2,408,-0.2932656959349492,-1.261245566298367,0,-1.4266085143479388,-0.2715739142511724,-14.374015270876257,4.944855169070415,19.31887043994667,14.834565507211249
2002-10-01,2,444,-0.3046627305339485,-0.5562751821053827,0,-0.34057086345547716,-0.09999988499239909,0.8165316248979337,9.295898498838012,8.479366873940078,21.606682997299163
2003-01-01,2,421,-0.2363019578941659,-0.5941691840303661,0,-0.5941691840303661,-0.181618403507454,0,14.517908869373304,14.517908869373304,19.357211825831072
2003-04-01,2,537,-0.1653927364712542,-1.176150579175457,0,-0.7448461082680436,-0.04468175970535392,-12.540407191062213,3.2467532467532467,15.787160437815459,11.420348210741224
2003-07-01,2,446,-0.35055845341824604,-1.0094639723994154,0,-0.803216448288045,-0.2816668754039224,-8.948680823680824,4.484395109395109,13.433075933075934,17.937580437580436
2003-10-01,2,436,-0.3700772084185652,-1.0201592638642416,0,-1.0299296785393304,-0.3887044599708119,-9.1791406134866,4.589570306743299,13.7687109202299,18.358281226973197
2004-01-01,2,429,-0.34223616303381116,-0.9184536959161149,0,-0.811031299288332,-0.3035910168576494,-6.987611388828515,4.6620299934796785,11.649641382308193,18.648119973918714
2004-04-01,2,504,-1.5394545008071852,-1.5792551132446164,0,-0.5941691840303661,-0.4040586442066814,-21.22641509433962,13.278624967691911,34.50504006203153,32.56655466528819
2004-07-01,2,601,-0.6986847423682379,-0.6690215915548898,-0.29708459201518306,-0.5941691840303661,-0.7645305215383026,-1.612903225806452,16.655581421128478,18.26848464693493,38.46580201751469
2004-10-01,2,597,-0.28331189013527497,-0.22438353911053946,-0.21114293893147068,-0.026481200358137575,-0.026656574625868457,7.9680598029221885,21.491675161399932,13.523615358477745,40.57084607543323
2005-01-01,2,581,-0.14859129893043999,-0.1213104686262998,-0.1213104686262998,0.016468877353906074,0.023890833138630798,10.18905567167015,22.343482804484132,12.154427132813984,46.33170245107353
2005-04-01,2,572,-0.3205988336178525,-0.2578757589201872,-0.2578757589201872,0.07841766618999163,0.10758759454544917,7.246376811594203,24.505483744614182,17.25910693301998,45.51018409714062
2005-07-01,2,652,-0.5288589819300941,-0.4141675788670708,-0.4141675788670708,-0.7209683443178106,-0.9034390429639709,3.87863502617601,23.166723986396118,19.288088960220108,46.333447972792236
2005-10-01,2,526,-1.2330181416356618,-0.8230159178194532,-0.8230159178194532,-1.3741438506724617,-2.0454451862273446,-4.9311391223155905,16.354458450046685,21.285597572362278,51.25175070028011
